Neck angle  , mean	Neck angle  , mean abs	Neck angle  , mean square	Neck angle  , std	Neck angle  , skew	Neck angle   ,kurtosis	Neck angle  , max	Neck angle  , min	Neck angle  , max abs	Neck angle  , min abs	Neck angle after LPF  , mean	Neck angle after LPF  , mean abs	Neck angle after LPF  , mean square	Neck angle after LPF  , std	Neck angle after LPF  , skew	Neck angle after LPF   ,kurtosis	Neck angle after LPF  , max	Neck angle after LPF  , min	Neck angle after LPF  , max abs	Neck angle after LPF  , min abs	Neck angle  velocity , mean	Neck angle  velocity , mean abs	Neck angle  velocity , mean square	Neck angle  velocity , std	Neck angle  velocity , skew	Neck angle  velocity  ,kurtosis	Neck angle  velocity , max	Neck angle  velocity , min	Neck angle  velocity , max abs	Neck angle  velocity , min abs	Neck angle  acceleration , mean	Neck angle  acceleration , mean abs	Neck angle  acceleration , mean square	Neck angle  acceleration , std	Neck angle  acceleration , skew	Neck angle  acceleration  ,kurtosis	Neck angle  acceleration , max	Neck angle  acceleration , min	Neck angle  acceleration , max abs	Neck angle  acceleration , min abs	Neck angle  jurk , mean	Neck angle  jurk , mean abs	Neck angle  jurk , mean square	Neck angle  jurk , std	Neck angle  jurk , skew	Neck angle  jurk  ,kurtosis	Neck angle  jurk , max	Neck angle  jurk , min	Neck angle  jurk , max abs	Neck angle  jurk , min abs	Head angle  , mean	Head angle  , mean abs	Head angle  , mean square	Head angle  , std	Head angle  , skew	Head angle   ,kurtosis	Head angle  , max	Head angle  , min	Head angle  , max abs	Head angle  , min abs	Head angle after LPF  , mean	Head angle after LPF  , mean abs	Head angle after LPF  , mean square	Head angle after LPF  , std	Head angle after LPF  , skew	Head angle after LPF   ,kurtosis	Head angle after LPF  , max	Head angle after LPF  , min	Head angle after LPF  , max abs	Head angle after LPF  , min abs	Head angle  velocity , mean	Head angle  velocity , mean abs	Head angle  velocity , mean square	Head angle  velocity , std	Head angle  velocity , skew	Head angle  velocity  ,kurtosis	Head angle  velocity , max	Head angle  velocity , min	Head angle  velocity , max abs	Head angle  velocity , min abs	Head angle  acceleration , mean	Head angle  acceleration , mean abs	Head angle  acceleration , mean square	Head angle  acceleration , std	Head angle  acceleration , skew	Head angle  acceleration  ,kurtosis	Head angle  acceleration , max	Head angle  acceleration , min	Head angle  acceleration , max abs	Head angle  acceleration , min abs	Head angle  jurk , mean	Head angle  jurk , mean abs	Head angle  jurk , mean square	Head angle  jurk , std	Head angle  jurk , skew	Head angle  jurk  ,kurtosis	Head angle  jurk , max	Head angle  jurk , min	Head angle  jurk , max abs	Head angle  jurk , min abs	ShoulderLeft angle  , mean	ShoulderLeft angle  , mean abs	ShoulderLeft angle  , mean square	ShoulderLeft angle  , std	ShoulderLeft angle  , skew	ShoulderLeft angle   ,kurtosis	ShoulderLeft angle  , max	ShoulderLeft angle  , min	ShoulderLeft angle  , max abs	ShoulderLeft angle  , min abs	ShoulderLeft angle after LPF  , mean	ShoulderLeft angle after LPF  , mean abs	ShoulderLeft angle after LPF  , mean square	ShoulderLeft angle after LPF  , std	ShoulderLeft angle after LPF  , skew	ShoulderLeft angle after LPF   ,kurtosis	ShoulderLeft angle after LPF  , max	ShoulderLeft angle after LPF  , min	ShoulderLeft angle after LPF  , max abs	ShoulderLeft angle after LPF  , min abs	ShoulderLeft angle  velocity , mean	ShoulderLeft angle  velocity , mean abs	ShoulderLeft angle  velocity , mean square	ShoulderLeft angle  velocity , std	ShoulderLeft angle  velocity , skew	ShoulderLeft angle  velocity  ,kurtosis	ShoulderLeft angle  velocity , max	ShoulderLeft angle  velocity , min	ShoulderLeft angle  velocity , max abs	ShoulderLeft angle  velocity , min abs	ShoulderLeft angle  acceleration , mean	ShoulderLeft angle  acceleration , mean abs	ShoulderLeft angle  acceleration , mean square	ShoulderLeft angle  acceleration , std	ShoulderLeft angle  acceleration , skew	ShoulderLeft angle  acceleration  ,kurtosis	ShoulderLeft angle  acceleration , max	ShoulderLeft angle  acceleration , min	ShoulderLeft angle  acceleration , max abs	ShoulderLeft angle  acceleration , min abs	ShoulderLeft angle  jurk , mean	ShoulderLeft angle  jurk , mean abs	ShoulderLeft angle  jurk , mean square	ShoulderLeft angle  jurk , std	ShoulderLeft angle  jurk , skew	ShoulderLeft angle  jurk  ,kurtosis	ShoulderLeft angle  jurk , max	ShoulderLeft angle  jurk , min	ShoulderLeft angle  jurk , max abs	ShoulderLeft angle  jurk , min abs	ElbowLeft angle  , mean	ElbowLeft angle  , mean abs	ElbowLeft angle  , mean square	ElbowLeft angle  , std	ElbowLeft angle  , skew
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																																																																										class
